city,temperature,humidity,pressure,wind,precipitation,date
Tunis,20.77,64,1019,1.62,0,2025-09-25 03:36:19
Ariana,20.12,67,1019,2.01,0,2025-09-25 03:36:19
Ben Arous,19.49,70,1019,1.24,0,2025-09-25 03:36:19
Manouba,18.68,71,1019,0.85,0,2025-09-25 03:36:19
Nabeul,20.85,69,1018,4.43,0,2025-09-25 03:36:19
Zaghouan,17.2,74,1019,1.66,0,2025-09-25 03:36:19
Bizerte,21.04,63,1018,3.54,0,2025-09-25 03:36:19
Beja,17.73,79,1019,0.66,0,2025-09-25 03:36:19
Jendouba,16.19,85,1019,0.94,0,2025-09-25 03:36:19
Kef,16.33,84,1019,1.59,0,2025-09-25 03:36:19
Siliana,15.32,82,1019,0.89,0,2025-09-25 03:36:19
Kasserine,18.04,83,1019,1.86,0,2025-09-25 03:36:19
Sidi Bouzid,19.66,70,1019,2.06,0,2025-09-25 03:36:20
Kairouan,20.45,68,1019,3.2,0,2025-09-25 03:36:20
Kébili,23.58,77,1017,5.31,0,2025-09-25 03:36:20
Tozeur,23.75,58,1017,7.19,0,2025-09-25 03:36:20
Gabès,24.96,67,1017,6.55,0,2025-09-25 03:36:20
Medenine,25.49,70,1017,5.0,0,2025-09-25 03:36:20
Tataouine,22.69,80,1016,7.01,0,2025-09-25 03:36:20
Mahdia,22.73,61,1018,6.05,0,2025-09-25 03:36:20
Monastir,22.99,60,1018,6.08,0,2025-09-25 03:36:20
Sousse,22.33,59,1018,5.28,0,2025-09-25 03:36:20
Sfax,23.15,63,1018,5.47,0,2025-09-25 03:36:20
Gafsa,19.83,66,1018,3.37,0,2025-09-25 03:36:20
